timestamp,open_price,high_price,low_price,close_price,volume
2025-06-28 02:00:00,1.2116,1.2120,1.2027,1.2031,606505
2025-06-28 03:00:00,1.2031,1.2068,1.2004,1.2006,376786
2025-06-28 04:00:00,1.2008,1.2038,1.1985,1.2000,328621
2025-06-28 05:00:00,1.1999,1.2082,1.1997,1.2011,465281
2025-06-28 06:00:00,1.2011,1.2062,1.1986,1.2059,491276
2025-06-28 07:00:00,1.2060,1.2132,1.2047,1.2094,521120
2025-06-28 08:00:00,1.2094,1.2104,1.2045,1.2067,434990
2025-06-28 09:00:00,1.2066,1.2087,1.2017,1.2064,395362
2025-06-28 10:00:00,1.2064,1.2088,1.2044,1.2075,386705
2025-06-28 11:00:00,1.2075,1.2109,1.2068,1.2103,369314
2025-06-28 12:00:00,1.2103,1.2171,1.2068,1.2167,493507
2025-06-28 13:00:00,1.2167,1.2206,1.2110,1.2121,594812
2025-06-28 14:00:00,1.2121,1.2180,1.2096,1.2167,415924
2025-06-28 15:00:00,1.2167,1.2272,1.2160,1.2250,708203
2025-06-28 16:00:00,1.2250,1.2329,1.2208,1.2221,1074578
2025-06-28 17:00:00,1.2222,1.2286,1.2182,1.2276,614587
2025-06-28 18:00:00,1.2276,1.2298,1.2230,1.2297,420895
2025-06-28 19:00:00,1.2297,1.2327,1.2258,1.2268,421421
2025-06-28 20:00:00,1.2269,1.2296,1.2251,1.2280,387272
2025-06-28 21:00:00,1.2280,1.2363,1.2273,1.2351,433776
2025-06-28 22:00:00,1.2350,1.2440,1.2346,1.2407,549543
2025-06-28 23:00:00,1.2407,1.2414,1.2356,1.2392,310626
2025-06-29 00:00:00,1.2392,1.2440,1.2384,1.2415,466856
2025-06-29 01:00:00,1.2416,1.2419,1.2315,1.2320,404159
2025-06-29 02:00:00,1.2321,1.2321,1.2269,1.2299,470930
2025-06-29 03:00:00,1.2299,1.2374,1.2282,1.2366,543146
2025-06-29 04:00:00,1.2365,1.2423,1.2338,1.2420,448654
2025-06-29 05:00:00,1.2419,1.2461,1.2400,1.2423,466688
2025-06-29 06:00:00,1.2422,1.2488,1.2407,1.2483,610985
2025-06-29 07:00:00,1.2484,1.2484,1.2399,1.2444,391485
2025-06-29 08:00:00,1.2445,1.2492,1.2429,1.2465,471679
2025-06-29 09:00:00,1.2464,1.2487,1.2429,1.2440,422211
2025-06-29 10:00:00,1.2439,1.2463,1.2418,1.2451,404614
2025-06-29 11:00:00,1.2452,1.2452,1.2371,1.2390,417438
2025-06-29 12:00:00,1.2390,1.2439,1.2362,1.2426,654521
2025-06-29 13:00:00,1.2426,1.2470,1.2416,1.2423,339244
2025-06-29 14:00:00,1.2423,1.2481,1.2423,1.2449,580214
2025-06-29 15:00:00,1.2448,1.2448,1.2329,1.2369,842520
